experiment_type,heldout_site,model,featuregroup,hyperparameter_tuning,top5_features,trainset_size,testset_size,train_accuracy,test_accuracy,precision,recall,f1 score,actual_mins_GENON,predicted_mins_GENON,Percentage generator on-time detection error
modified loso,Ndosho,RandomForest_tuned,"Voltage, Frequency, Mean threshold, TS and HMM",True,"HMM_State_freq_a_0, HMM_State_freq_b_3, freq_b, volt_b, volt_a",60480,18144,0.9985615079365079,0.841820987654321,0.5762541806020067,0.5180396873120866,0.545598480050665,3326,2990,-10.10222489476849
modified loso,Ndosho,XGBoost_tuned,"Voltage, Frequency, Mean threshold, TS and HMM",True,"HMM_State_freq_b_3, HMM_State_freq_a_0, HMM_State_freq_a_2, HMM_State_volt_b_1, HMM_State_freq_b_0",60480,18144,0.9986276455026455,0.8064373897707231,0.4722388059701493,0.4756464221286831,0.47393648891551826,3326,3350,0.7215874924834637
modified loso,Kitatumba,LogisticRegression,Voltage and Frequency Only,True,"volt_b, freq_b, volt_a, freq_a",85680,8064,0.8677521008403362,0.7410714285714286,0.0,0.0,0.0,2088,0,-100.0
modified loso,Kitatumba,RandomForest_tuned,Voltage and Frequency Only,True,"volt_b, freq_a, freq_b, volt_a",85680,8064,0.983578431372549,0.7682291666666666,0.8328267477203647,0.13122605363984674,0.2267273479520066,2088,329,-84.24329501915709
modified loso,Kitatumba,XGBoost_tuned,Voltage and Frequency Only,True,"volt_b, freq_a, volt_a, freq_b",85680,8064,0.9853991596638656,0.8175843253968254,0.8910012674271229,0.3366858237547893,0.48870351060132083,2088,789,-62.21264367816092
modified loso,Kitatumba,LogisticRegression,"Voltage, Frequency and Mean Threshold",True,"volt_b, higher_volt_clinique, freq_b, higher_volt_lab, volt_a",85680,8064,0.8926820728291317,0.7590525793650794,1.0,0.06944444444444445,0.12987012987012986,2088,145,-93.05555555555556
modified loso,Kitatumba,RandomForest_tuned,"Voltage, Frequency and Mean Threshold",True,"volt_b, freq_a, freq_b, volt_a, higher_volt_lab",85680,8064,0.9826914098972922,0.7719494047619048,0.8878504672897196,0.13649425287356323,0.23661270236612703,2088,321,-84.6264367816092
modified loso,Kitatumba,XGBoost_tuned,"Voltage, Frequency and Mean Threshold",True,"volt_b, freq_a, freq_b, volt_a, higher_volt_clinique",85680,8064,0.9850840336134454,0.7890625,0.8388791593695272,0.22940613026819923,0.3602858217374953,2088,571,-72.65325670498085
modified loso,Kitatumba,LogisticRegression,"Voltage, Frequency, Mean Threshold and Time Series",True,"volt_b, volt_in_range_clinique, Prev_High_delta_freq_clinique, volt_a, higher_volt_clinique",85680,8064,0.9436507936507936,0.7721974206349206,0.9498207885304659,0.12691570881226052,0.22391212505280947,2088,279,-86.63793103448276
modified loso,Kitatumba,RandomForest_tuned,"Voltage, Frequency, Mean Threshold and Time Series",True,"volt_b, freq_a, volt_a, freq_b, Freq_delta_lab",85680,8064,0.9984710550887022,0.783234126984127,0.9166666666666666,0.17911877394636017,0.29967948717948717,2088,408,-80.45977011494253
modified loso,Kitatumba,XGBoost_tuned,"Voltage, Frequency, Mean Threshold and Time Series",True,"volt_b, freq_a, Hour_0, Hour_4, Hour_3",85680,8064,0.9981792717086835,0.7972470238095238,0.9415204678362573,0.23132183908045978,0.37139561707035756,2088,513,-75.43103448275862
modified loso,Kitatumba,LogisticRegression,"Voltage, Frequency, Mean threshold, TS and HMM",True,"volt_b, Prev_High_delta_freq_clinique, HMM_State_volt_b_2, HMM_State_volt_a_4, HMM_State_volt_a_0",85680,8064,0.9492763772175536,0.7744295634920635,1.0,0.12883141762452108,0.22825625795502757,2088,269,-87.11685823754789
modified loso,Kitatumba,RandomForest_tuned,"Voltage, Frequency, Mean threshold, TS and HMM",True,"volt_b, freq_a, volt_a, freq_b, HMM_State_freq_b_2",85680,8064,0.9991013071895425,0.7705853174603174,0.9280575539568345,0.1235632183908046,0.2180896027049873,2088,278,-86.68582375478927
modified loso,Kitatumba,XGBoost_tuned,"Voltage, Frequency, Mean threshold, TS and HMM",True,"HMM_State_freq_b_2, volt_b, HMM_State_volt_b_1, HMM_State_volt_b_2, Hour_12",85680,8064,0.9986577964519141,0.7565724206349206,0.9496402877697842,0.06321839080459771,0.11854512797485406,2088,139,-93.34291187739464
