facility,model,featuregroup,top5_features,trainset,testset,trainacc,testacc,precision,recall,f1 score,actual_mins_GENON,predicted_mins_GENON,Percentage generator on-time detection error
Kitatumba,XGBoost-tuned,Voltage and Frequency Only,"Frequency D2B9CB2E (Hgr Kitatumba - Mdh office), Frequency 6EF39700 (Hgr Kitatumba - Labo), Voltage D2B9CB2E (Hgr Kitatumba - Mdh office), Voltage 6EF39700 (Hgr Kitatumba - Labo)",12096,8064,1.0,0.9998759920634921,0.9995213020584012,1.0,0.9997605937275557,2088,2089,0.04789272030651341
Kitatumba,LogisticRegression,"Voltage, Frequency and Mean Threshold","higher_freq_lab, higher_freq_clinique, Frequency D2B9CB2E (Hgr Kitatumba - Mdh office), higher_volt_lab, higher_volt_clinique",12096,8064,0.9229497354497355,0.8231646825396826,0.996996996996997,0.31800766283524906,0.4822076978939724,2088,666,-68.10344827586206
Kitatumba,RandomForest,"Voltage, Frequency and Mean Threshold","Frequency D2B9CB2E (Hgr Kitatumba - Mdh office), Frequency 6EF39700 (Hgr Kitatumba - Labo), Voltage 6EF39700 (Hgr Kitatumba - Labo), higher_freq_lab, Voltage D2B9CB2E (Hgr Kitatumba - Mdh office)",12096,8064,1.0,0.9997519841269841,0.999043062200957,1.0,0.9995213020584012,2088,2090,0.09578544061302682
Kitatumba,XGBoost,"Voltage, Frequency and Mean Threshold","Frequency D2B9CB2E (Hgr Kitatumba - Mdh office), Frequency 6EF39700 (Hgr Kitatumba - Labo), Voltage 6EF39700 (Hgr Kitatumba - Labo), Voltage D2B9CB2E (Hgr Kitatumba - Mdh office), higher_volt_clinique",12096,8064,1.0,0.9988839285714286,0.9995194617972128,0.9961685823754789,0.9978412089230031,2088,2081,-0.33524904214559387
Kitatumba,XGBoost-tuned,"Voltage, Frequency and Mean Threshold","Frequency 6EF39700 (Hgr Kitatumba - Labo), Frequency D2B9CB2E (Hgr Kitatumba - Mdh office), higher_freq_lab, higher_freq_clinique, Voltage 6EF39700 (Hgr Kitatumba - Labo)",12096,8064,1.0,0.9998759920634921,0.9995213020584012,1.0,0.9997605937275557,2088,2089,0.04789272030651341
Kitatumba,LogisticRegression,"Voltage, Frequency, Mean Threshold and Time Series","High_delta_freq_lab, Prev_High_delta_freq_lab, freq_in_range_lab, High_delta_freq_clinique, Hour_5",12096,8064,0.9050099206349206,0.8266369047619048,0.9411764705882353,0.3524904214559387,0.5128919860627178,2088,782,-62.547892720306514
Kitatumba,RandomForest,"Voltage, Frequency, Mean Threshold and Time Series","Frequency D2B9CB2E (Hgr Kitatumba - Mdh office), Frequency 6EF39700 (Hgr Kitatumba - Labo), High_delta_freq_lab, Prev_High_delta_freq_lab, freq_in_range_lab",12096,8064,1.0,0.9997519841269841,0.999043062200957,1.0,0.9995213020584012,2088,2090,0.09578544061302682
Kitatumba,XGBoost,"Voltage, Frequency, Mean Threshold and Time Series","Frequency D2B9CB2E (Hgr Kitatumba - Mdh office), Freq_delta_clinique, Voltage 6EF39700 (Hgr Kitatumba - Labo), Frequency 6EF39700 (Hgr Kitatumba - Labo), Freq_delta_lab",12096,8064,1.0,0.9993799603174603,0.9995203836930455,0.9980842911877394,0.9988018212317278,2088,2085,-0.14367816091954022
Kitatumba,XGBoost-tuned,"Voltage, Frequency, Mean Threshold and Time Series","Frequency 6EF39700 (Hgr Kitatumba - Labo), Frequency D2B9CB2E (Hgr Kitatumba - Mdh office), volt_in_range_lab, Hour_18, volt_in_range_clinique",12096,8064,1.0,0.9998759920634921,0.9995213020584012,1.0,0.9997605937275557,2088,2089,0.04789272030651341
Kitatumba,LogisticRegression,"Voltage, Frequency, Mean threshold, TS and HMM","HMM_State_Frequency D2B9CB2E (Hgr Kitatumba - Mdh office)_0, HMM_State_Frequency D2B9CB2E (Hgr Kitatumba - Mdh office)_2, HMM_State_Frequency 6EF39700 (Hgr Kitatumba - Labo)_0, HMM_State_Frequency 6EF39700 (Hgr Kitatumba - Labo)_2, Prev_High_delta_freq_lab",12096,8064,0.9995039682539683,0.9988839285714286,0.9966555183946488,0.9990421455938697,0.9978474049270509,2088,2093,0.23946360153256704
